LandID;DestinationID;LandName;StadtID;StadtName;Stadt;SonneStrand;Party;Wintersport;WellnessErholung;NaturCamping;SportFahrradWandern;Kreutzfahrt;Kultur;Gesundheitstourismus
5;01009;Italien;9;Venedig;0;0;0;0;0;0;0;1;0;0
5;01010;Italien;10;Siracusa;0;0;0;0;0;0;0;1;0;0
5;01011;Italien;11;Messina;0;0;0;0;0;0;0;1;0;0
5;01012;Italien;12;Triest;0;0;0;0;0;0;0;1;0;0
5;01013;Italien;13;Bari;0;0;0;0;0;0;0;1;0;0
5;05014;Italien;14;Civitavecchia;0;0;0;0;0;0;0;1;0;0
6;06001;Niederlande;1;Amsterdam;1;0;1;0;0;0;0;1;1;0
6;06002;Niederlande;2;Rotterdam;1;0;1;0;0;0;0;1;1;0
7;07001;Oesterreich;1;Wien;1;0;1;0;0;0;0;0;1;0
8;01001;Polen;1;Warschau;1;0;1;0;0;0;0;0;1;0
8;01002;Polen;2;Lodz;1;0;1;0;0;0;0;0;1;0
8;01003;Polen;3;Gdynia;0;0;0;0;0;0;0;1;0;0
8;01004;Polen;4;Krakau;1;0;1;0;0;0;0;0;1;0
8;01005;Polen;5;Breslau;1;0;1;0;0;0;0;0;1;0
8;01006;Polen;6;Posen;1;0;1;0;0;0;0;0;1;0
9;01001;Kroatien;1;Dubrovnik;0;1;1;0;0;0;0;1;1;0
9;01002;Kroatien;2;Zagreb;1;0;1;0;0;0;0;0;1;0
10;01001;Tuerkei;1;Istanbul;1;1;1;0;0;0;0;1;1;0
;;;;;;;;;;;;;;
