id;class;location;collaborators;initialPlans
intVal;string;intSet;intSet;intSet
74;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33338,33339,33928,33929,33930,34516,35106,35696,35697,36286,36876};{};{1001}
75;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36291,36292,36293,36881,36882,36883};{};{1001}
85;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33932,33933,33934,34519,34520,34521,34522,34523,34524,35111,35113,35114};{};{1001}
84;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{34517,34518,35107,35108};{};{1001}
87;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33331,33919,33920,33921,34509,34510,34511};{};{1001}
86;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33918,34508};{};{1001}
81;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35102,35103,35693};{};{1001}
80;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33319,33320,33321,33322,33909,33910,33911,33912,34499,34502,34503,35089,35092,35093,35681,35682};{};{1001}
83;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35097};{};{1001}
82;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{34500,34501,35090,35091};{};{1001}
93;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{31562,31563,32151,32152,32154,32155,32742,32745,33332,33333};{};{1001}
92;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{30377,30967,30968,30969,31557,31558,31559,31560,32150,32740,32741,33330};{};{1001}
95;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{31567,31568,31569,31570,32157,32158,32161,32747,32748,32749,32751,32752,33340,33341};{};{1001}
94;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{30975,30976,31565,31566,32156,32746,33336,33337};{};{1001}
89;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33334,33335,33923,33924,33925};{};{1001}
88;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{31555,31556,32144,32145,32146,32147,32148,32149,32734,32735,32736,32737,32738,32739,33324,33325,33326,33327,33328,33329,33915,33916,33917};{};{1001}
91;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33342,33931};{};{1001}
90;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33926,33927};{};{1001}
102;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{7953,7954,8542,8543,9132,9133};{};{1001}
103;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{7961,7962,8550,8551,8552,9140,9141};{};{1001}
100;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{9728,10317,10318,10907};{};{1001}
101;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{7957,7958,8546,8547,8548,8549,9137,9138,9727};{};{1001}
98;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{9139,9729,9730,9731,9732,9733,10319,10320,10321,10322,10323,10908,10909,10910,10911,10912,11498,11499,11500,11501,12089,12090};{};{1001}
99;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{6173,6763,8544,8545,9134,9135,9136,9723,9724,9725,9726,10313,10314,10315,10316,10904,10905};{};{1001}
96;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{32153,32743,32744};{};{1001}
97;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{32159,32160,32750};{};{1001}
110;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{5007,5008,5597,5598,6187,6188};{};{1001}
111;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{2052,2054,2644,2645,2646,3232,3233,3234,3235,3823,3824,4413};{};{1001}
108;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{5009,5010,5599,5600,6189,6778,7368};{};{1001}
109;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{866,867,1456,1458,1459,1460,2045,2046,2047,2048,2049,2050,2051,2635,2636,2637,2638,2639,2640,2641,3226,3227,3228,3229,3230,3231,3816,3817,3818,3819,3820,3821,3822,4406,4407,4408,4409,4410,4411,4412,4996,4997,4998,4999,5002,5587,5588,5589,6178};{};{1001}
106;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{6776,6777,7366,7367,7956};{};{1001}
107;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{4423,4424,4425,5012,5013,5014,5015,5601,5602,5603,5604,6190,6191,6192,6193,6779,6780,6781,6782,6783,7369,7370,7371,7372,7959,7960};{};{1001}
104;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{5000,5001,5590,5591,5592,5593,6179,6180,6181,6182,6183,6769,6770,6771,6772,6773,7358,7359,7360,7361,7362,7949,7950,7951,7952,8539,8540,8541};{};{1001}
105;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{3236,3237,3825,3826,3827,4414,4415,4416,4417,4418,5003,5004,5005,5006,5594,5595,5596,6184,6185,6186,6774,6775,7363,7364,7365,7955};{};{1001}
112;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{2053,2642,2643};{};{1001}
